,gt_config,relocation,recency,weighted,augmented,features,features_source,epoch,rs,model,fn,r2,r2_mean_wi,r2_std_wi,rmse,rmse_mean_wi,rmse_std_wi,nrmse,nrmse_mean_wi,nrmse_std_wi,mse,mse_mean_wi,mse_std_wi,country,country_code
0,DHS2019_all_none,none,N-N,no,no,metadata,OCI_FBM_FBP_NTLL_OSM,1,145244363,CB,DHS2019_all_none/epoch1-rs145244363/xgb-OCI_FBM_FBP_NTLL_OSM/test_pred_xgb.csv,0.5384440581815497,0.7979467239484458,0.27894139241465354,5.7225833971820474,9.068870290254653,2.3762965041094413,0.6453560729346071,0.44675408415532375,0.8439580617138903,43.94559670845313,82.24440834146351,5.646785075442752,Gabon,GA
1,DHS2019_all_none,none,N-N,no,no,metadata,OCI_FBM_FBP_NTLL_OSM,2,3314023453,CB,DHS2019_all_none/epoch2-rs3314023453/xgb-OCI_FBM_FBP_NTLL_OSM/test_pred_xgb.csv,0.48329952776232776,0.8077469346930582,0.15885212083159728,5.995296187085763,8.754140753144751,3.2364516210267738,0.6736583040547185,0.43578494206434876,0.9115316660450882,43.55479971055829,76.63498032586975,10.474619095246831,Gabon,GA
2,DHS2019_all_none,none,N-N,no,no,metadata,OCI_FBM_FBP_NTLL_OSM,3,1806405572,CB,DHS2019_all_none/epoch3-rs1806405572/xgb-OCI_FBM_FBP_NTLL_OSM/test_pred_xgb.csv,0.41008246366523365,0.82144487683215,-0.0012799495016826423,5.5185320116113,8.228762108613326,2.8083019146092743,0.7072464750244414,0.4199733582809784,0.9945195917679043,37.79954274187427,67.71252584015042,7.886559643598115,Gabon,GA
3,DHS2019_all_none,none,N-N,no,no,metadata,OCI_FBP_NTLL_OSM,1,145244363,CB,DHS2019_all_none/epoch1-rs145244363/xgb-OCI_FBP_NTLL_OSM/test_pred_xgb.csv,0.5192930784492287,0.799002652186941,0.23958350471151624,5.74271524478185,9.045142340046418,2.4402881495172823,0.6561351620410389,0.4455851889870298,0.8666851350950482,43.88480310218744,81.8145999517004,5.955006252674481,Gabon,GA
4,DHS2019_all_none,none,N-N,no,no,metadata,OCI_FBP_NTLL_OSM,2,3314023453,CB,DHS2019_all_none/epoch2-rs3314023453/xgb-OCI_FBP_NTLL_OSM/test_pred_xgb.csv,0.457486787583788,0.7680859547678677,0.14688762039970837,6.437095773371389,9.614803530699561,3.259388016043217,0.6983103530559454,0.47862911023915566,0.917991595872735,51.534028586539435,92.44444693395273,10.623610239126137,Gabon,GA
5,DHS2019_all_none,none,N-N,no,no,metadata,OCI_FBP_NTLL_OSM,3,1806405572,CB,DHS2019_all_none/epoch3-rs1806405572/xgb-OCI_FBP_NTLL_OSM/test_pred_xgb.csv,0.5007311492883106,0.8434777845953156,0.15798451398130553,5.139822806666418,7.704356003014835,2.575289610318001,0.6526053809568119,0.3932091147210974,0.9120016471925264,32.99460899910129,59.357101421190734,6.632116577011842,Gabon,GA
6,DHS2019_all_none,none,N-N,no,no,FBM,FBM,1,145244363,CB,DHS2019_all_none/epoch1-rs145244363/xgb-FBM/test_pred_xgb.csv,0.2101876212131848,0.33510754548341537,0.08526769694295422,9.563803900721679,16.45113795832519,2.6764698431181655,0.8804944039056972,0.8104221183736962,0.9505666894376982,138.90171547248448,270.63994012384796,7.163490821120978,Gabon,GA
7,DHS2019_all_none,none,N-N,no,no,FBM,FBM,2,3314023453,CB,DHS2019_all_none/epoch2-rs3314023453/xgb-FBM/test_pred_xgb.csv,0.16189286298732775,0.34195269847721677,-0.018166972502561274,9.878335624842274,16.19591336217654,3.5607578875080073,0.9045553277922403,0.806239625937005,1.0028710296474757,137.49330318428957,262.30760963512864,12.678996733450488,Gabon,GA
8,DHS2019_all_none,none,N-N,no,no,FBM,FBM,3,1806405572,CB,DHS2019_all_none/epoch3-rs1806405572/xgb-FBM/test_pred_xgb.csv,0.15100094383444385,0.3336353192222663,-0.03163343155337861,9.37357686378912,15.896603222546982,2.8505505050312565,0.9104000869606277,0.8113188536153119,1.0094813203059434,130.41381609841252,252.7019940150911,8.125638181733951,Gabon,GA
9,DHS2019_all_none,none,N-N,no,no,FBP,FBP,1,145244363,CB,DHS2019_all_none/epoch1-rs145244363/xgb-FBP/test_pred_xgb.csv,0.524306700422019,0.797611297924798,0.25100210291923997,5.749145796630616,9.076394725733802,2.42189686752743,0.653639050202691,0.4471247557134874,0.8601533446918946,44.12326282713378,82.38094121732838,5.865584436939178,Gabon,GA
10,DHS2019_all_none,none,N-N,no,no,FBP,FBP,2,3314023453,CB,DHS2019_all_none/epoch2-rs3314023453/xgb-FBP/test_pred_xgb.csv,0.3902792493599751,0.7752776707976945,0.005280827922255704,6.4920343382486685,9.464550709083413,3.5195179674139228,0.7312027278639017,0.4711494592934616,0.9912559964343418,50.982363423880386,89.57772012481135,12.38700672294943,Gabon,GA
11,DHS2019_all_none,none,N-N,no,no,FBP,FBP,3,1806405572,CB,DHS2019_all_none/epoch3-rs1806405572/xgb-FBP/test_pred_xgb.csv,0.3552286998879607,0.7671111959909238,-0.05665379621500244,6.141317077419054,9.397723317865994,2.8849108369721144,0.7506417276778967,0.4796339194042804,1.021649535951513,48.319957048220694,88.31720355916224,8.322710537279145,Gabon,GA
12,DHS2019_all_none,none,N-N,no,no,NTLL,NTLL,1,145244363,CB,DHS2019_all_none/epoch1-rs145244363/xgb-NTLL/test_pred_xgb.csv,0.45216375479163323,0.780587911353574,0.1237395982296925,6.03499438254367,9.450407115531327,2.6195816495560122,0.6979559749955628,0.4655494941118624,0.9303624558792633,48.08620133398787,89.31019464928515,6.862208018690598,Gabon,GA
13,DHS2019_all_none,none,N-N,no,no,NTLL,NTLL,2,3314023453,CB,DHS2019_all_none/epoch2-rs3314023453/xgb-NTLL/test_pred_xgb.csv,0.5174879888261013,0.7707605844771371,0.2642153931750655,6.293085462613723,9.559199708594099,3.026971216633347,0.6641968022163709,0.47586112774057854,0.8525324766921634,50.27042690755613,91.3782990687855,9.162554746326764,Gabon,GA
14,DHS2019_all_none,none,N-N,no,no,NTLL,NTLL,3,1806405572,CB,DHS2019_all_none/epoch3-rs1806405572/xgb-NTLL/test_pred_xgb.csv,0.38035677765621967,0.7815610576904095,-0.020847502377970173,5.968559189162966,9.101508559210513,2.8356098191154184,0.7343531129195594,0.46451593381630046,1.0041902920228183,45.439070549823015,82.83745805338225,8.040683046263776,Gabon,GA
